count;year;name
250;2022;Raphaël
223;2022;Louis
158;2022;Léo
115;2022;Olivia
103;2022;Noé
71;2022;Valentin
64;2022;Agathe
48;2022;Daniel
46;2022;Pia
41;2022;Hortense
40;2022;Aliénor
36;2022;Kaïs
36;2022;Khadija
34;2022;Charlie
34;2022;Henri
32;2022;Djibril
32;2022;Cléo
31;2022;Elise
30;2022;Alban
26;2022;Sophie
24;2022;Myriam
21;2022;Joy
18;2022;Aymen
18;2022;Ana
17;2022;Hippolyte
15;2022;Kylian
15;2022;Blanche
14;2022;Amélia
13;2022;Camil
13;2022;Ewen
13;2022;Swann
13;2022;Izïa
13;2022;Océane
12;2022;Yazid
11;2022;Idris
11;2022;Emilie
11;2022;Evy
10;2022;Sibylle
9;2022;Anthony
9;2022;Bryan
8;2022;Saïd
8;2022;Abigaïl
8;2022;Baya
7;2022;Nahël
7;2022;Rahim
7;2022;Bertille
7;2022;Khadidja
6;2022;Aylane
6;2022;Karamba
6;2022;Eléa
6;2022;Layan
5;2022;Barthélémy
5;2022;Islem
5;2022;Mounir
5;2022;Paolo
5;2022;Zeyn
5;2022;Bonnie
5;2022;Celine
5;2022;Frida
5;2022;Marie-Lou
5;2022;Miya
5;2022;Zina
46;2011;Yacine
60;2011;Youssef
7;2012;Abigail
46;2012;Achille
14;2012;Adélaïde
11;2012;Adil
77;2012;Alix
9;2012;Amel
7;2012;Amin
28;2012;Amina
5;2012;Annabelle
5;2012;Artémis
14;2012;Athénaïs
5;2012;Cameron
13;2012;Castille
17;2012;Céline
30;2012;Charlie
5;2012;Claudia
7;2012;Curtis
15;2012;Dan
7;2012;Dana
5;2012;Daphnée
70;2012;Diane
8;2012;El
6;2012;Éléa
72;2012;Elsa
5;2012;Elvire
22;2012;Elyes
5;2012;Félicien
14;2012;Haroun
165;2012;Hugo
11;2012;Ilan
64;2012;Iris
7;2012;Isabella
16;2012;Ismael
12;2012;Jack
126;2012;Jade
38;2012;Julien
8;2012;Leandro
127;2012;Léo
29;2012;Lino
17;2012;Livia
6;2012;Luisa
50;2012;Madeleine
8;2012;Mariame
17;2012;Mathys
5;2012;Meryam
17;2012;Naïla
8;2012;Nicole
27;2012;Nino
5;2012;Perla
6;2012;Perrine
5;2012;Ranim
51;2012;Romain
17;2012;Sam
94;2012;Samuel
9;2012;Sebastian
6;2012;Serine
15;2012;Solène
10;2012;Thalia
13;2012;Tidiane
7;2012;Tim
5;2012;Toma
19;2012;Valentina
6;2012;Zakary
13;2013;Aaliyah
332;2013;Adam
7;2013;Aden
229;2013;Alice
6;2013;Allan
20;2013;Ambroise
64;2013;Amine
22;2013;Anas
59;2013;Antonin
10;2013;Ariel
7;2013;Aristide
7;2013;Armel
15;2013;Colette
5;2013;Dana
5;2013;Daniella
7;2013;Dany
42;2013;Eden
23;2013;Emmy
103;2013;Enzo
8;2013;Eugène
7;2013;Eyal
8;2013;Fatma
5;2013;Filip
22;2013;Gaston
7;2013;George
11;2013;Hanaé
5;2013;Hedi
30;2013;Henri
13;2013;Ilyan
5;2013;India
28;2013;Isaure
6;2013;Jean-Baptiste
6;2013;Jude
6;2013;Kawtar
7;2013;Kenny
20;2013;Kylian
23;2013;Lana
15;2013;Lara
11;2013;Lassana
43;2013;Laura
5;2013;Layanah
46;2013;Lila
29;2013;Lise
346;2013;Louise
12;2013;Lya
17;2013;Malik
37;2013;Malo
91;2013;Margaux
22;2013;Marin
75;2013;Maxence
9;2013;Maxime
10;2013;Melissa
7;2013;Menahem
7;2013;Michelle
